username,repo_name,stars,repo_url
bitcoin,bitcoin,55500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,16900,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9700,https://github.com/askmike/gekko
freqtrade,freqtrade,9500,https://github.com/freqtrade/freqtrade
bbfamily,abu,8100,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6100,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5700,https://github.com/yeasy/blockchain_guide
butor,blackbird,5300,https://github.com/butor/blackbird
lightningnetwork,lnd,5200,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5000,https://github.com/spesmilo/electrum
btcsuite,btcd,4300,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4200,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4000,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3600,https://github.com/bisq-network/bisq
michaelgrosner,tribeca,3600,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3500,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3400,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3400,https://github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3300,https://github.com/coinpride/CryptoList
bitpay,wallet,3200,https://github.com/bitpay/wallet
SqueezerIO,squeezer,3200,https://github.com/SqueezerIO/squeezer
CryptoSignal,Crypto-Signal,3200,https://github.com/CryptoSignal/Crypto-Signal
Jeiwan,blockchain_go,3000,https://github.com/Jeiwan/blockchain_go
lbryio,lbrycrd,2800,https://github.com/lbryio/lbrycrd
jesse-ai,jesse,2800,https://github.com/jesse-ai/jesse
btcpayserver,btcpayserver,2800,https://github.com/btcpayserver/btcpayserver
solana-labs,solana,2700,https://github.com/solana-labs/solana
bcoin-org,bcoin,2500,https://github.com/bcoin-org/bcoin
